,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,0,0,3,1,0,0,4,4,0,4,0,1,1,1,0,1,0,0,0,1,1,0,0,3,2,3,0,0,2,6,2,3,3
1,0,0,2,1,0,1,1,1,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,4,2,2,0,0,2,4,2,2,3
2,0,0,0,1,1,1,1,1,0,2,2,1,0,1,3,1,0,1,0,1,1,1,0,3,2,1,1,2,2,10,4,5,7
3,0,0,0,1,0,1,4,2,1,3,1,1,0,2,0,0,1,1,1,1,1,1,1,2,1,1,0,0,4,2,12,11,12
4,0,0,1,1,0,1,3,3,2,2,1,0,0,1,0,0,1,1,0,1,1,0,0,3,2,1,0,1,4,4,3,7,7
5,0,1,1,1,1,1,4,3,3,2,3,1,0,1,0,0,1,1,1,1,1,1,0,4,3,1,0,1,4,10,12,12,12
6,0,1,1,1,1,1,2,2,2,2,1,1,0,1,0,0,0,0,0,1,1,1,0,3,3,3,0,0,2,0,9,9,8
7,0,0,2,1,0,0,4,4,2,4,1,1,1,1,0,1,1,0,0,1,1,0,0,3,0,3,0,0,0,6,3,2,3
8,0,1,0,1,1,0,3,2,3,2,1,1,0,1,0,0,1,1,0,1,1,1,0,3,1,1,0,0,0,0,13,15,16
9,0,1,0,1,0,1,3,4,2,2,1,1,0,1,0,0,1,1,1,1,1,1,0,4,4,0,0,0,4,0,11,12,12
10,0,0,0,1,0,1,4,4,4,1,3,1,0,1,0,0,1,1,0,1,1,1,0,2,2,2,0,1,1,0,7,5,6
11,0,0,0,1,0,1,2,1,3,2,3,0,2,2,0,0,1,0,1,1,1,1,0,4,1,1,0,0,3,4,7,9,9
12,0,1,0,1,1,1,4,4,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0,3,2,2,0,2,4,2,11,11,11
13,0,1,0,1,0,1,4,3,4,2,0,1,1,1,0,0,1,1,0,1,1,1,0,4,3,2,0,1,2,2,7,7,8
14,0,1,0,1,0,0,2,2,2,2,1,2,0,2,0,0,1,0,0,1,1,1,1,3,4,1,0,0,2,0,11,13,13
15,0,0,1,1,0,1,4,4,1,2,1,1,0,0,0,0,1,0,0,1,1,1,0,3,3,3,0,1,1,4,11,11,11
16,0,0,1,1,0,1,4,4,3,3,3,1,0,2,0,0,1,1,1,1,1,1,0,2,1,2,0,1,1,6,10,11,11
17,0,0,1,1,0,1,3,3,2,2,3,1,2,1,0,1,1,0,1,1,1,0,0,4,2,1,0,0,3,4,5,7,7
18,0,1,2,1,0,1,3,2,3,3,0,1,0,0,3,0,1,0,1,1,1,1,0,4,4,4,1,3,4,16,3,2,2
19,0,1,1,1,1,1,4,3,1,2,1,0,0,0,0,0,0,1,1,1,1,1,0,2,0,2,0,2,4,4,5,7,7
20,0,1,0,1,0,1,4,3,4,2,3,1,0,1,0,0,0,0,0,1,1,1,0,3,3,0,0,0,0,0,10,11,12
21,0,1,0,1,0,1,4,4,1,1,2,0,0,0,0,0,1,1,0,1,1,1,0,4,3,1,0,0,4,0,9,12,12
22,0,1,1,1,1,1,4,2,4,2,0,1,0,1,0,0,0,0,1,1,1,1,0,3,4,0,0,2,4,2,12,12,13
23,0,1,1,1,1,1,2,2,2,2,3,1,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,4,0,10,10,9
24,0,0,0,0,0,1,2,4,3,1,0,1,0,2,0,1,1,1,1,1,1,1,0,3,2,1,0,0,4,2,7,6,5
25,0,0,1,1,0,1,2,2,3,3,1,1,0,0,2,0,1,1,0,0,1,1,0,0,1,1,0,2,4,14,3,6,5
26,0,1,0,1,0,1,2,2,2,2,1,1,0,0,0,0,1,1,0,1,1,1,0,3,1,1,0,1,4,2,9,9,8
27,0,1,0,1,0,1,4,2,1,3,2,1,0,0,0,0,0,1,0,1,1,1,0,1,1,3,1,3,0,4,12,13,12
28,0,1,1,1,1,0,3,4,3,2,1,1,0,1,0,1,1,0,1,1,1,1,0,4,2,2,0,0,4,4,8,8,8
29,0,1,1,1,0,1,4,4,4,4,1,1,0,1,0,0,1,1,1,1,1,1,1,3,3,4,4,4,4,16,7,9,8
30,0,1,0,1,0,1,4,4,1,3,1,1,0,1,0,0,1,1,0,0,1,1,0,4,3,1,2,3,4,0,6,8,9
31,0,1,0,1,0,1,4,4,3,3,3,1,1,1,0,0,1,0,1,1,1,1,0,3,2,0,0,0,4,0,14,13,14
32,0,1,0,0,0,1,4,3,4,0,0,1,0,1,0,0,1,0,1,1,1,1,1,3,4,1,0,0,4,0,14,13,13
33,0,1,0,1,1,1,3,3,2,2,0,1,0,1,0,0,0,0,1,0,1,1,0,4,2,1,0,0,1,0,5,7,9
34,0,1,1,1,0,1,3,2,2,2,1,1,0,0,0,0,1,1,0,0,1,1,0,4,3,2,0,0,4,0,9,11,12
35,0,0,0,1,0,1,2,3,2,2,2,0,1,0,0,0,1,0,1,1,1,0,0,2,4,0,0,0,4,0,5,4,3
36,0,1,0,1,1,1,4,3,4,3,1,1,0,2,0,0,1,0,1,1,1,1,0,4,3,2,0,0,3,2,12,13,15
37,0,1,1,0,0,0,4,4,2,4,3,1,1,2,0,0,1,0,1,1,1,1,1,1,3,2,0,0,4,7,12,13,12
38,0,0,0,0,0,1,3,4,3,1,0,1,0,2,0,1,1,1,1,1,1,1,0,3,2,1,0,0,4,2,9,9,8
39,0,0,0,0,0,1,2,2,0,2,3,1,0,0,0,1,1,1,1,1,1,0,0,3,2,0,0,0,1,8,11,10,10
40,0,0,1,1,1,1,2,2,2,2,1,1,1,1,1,0,1,0,1,0,1,1,1,2,2,2,0,1,2,25,4,7,8
41,0,1,0,1,1,1,4,4,4,2,1,2,0,0,0,0,1,0,0,0,1,1,1,4,3,2,1,3,4,8,9,9,9
42,0,1,0,1,0,1,4,4,3,4,0,0,0,1,0,0,1,0,1,1,1,1,0,3,2,2,0,0,4,2,16,15,15
