,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,0,18,0,1,0,4,4,0,4,0,1,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,2,6,5,6,6
1,0,17,0,1,1,1,1,0,2,0,0,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,2,4,5,5,6
2,0,15,0,0,1,1,1,0,2,2,1,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,2,10,7,8,10
3,0,15,0,1,1,4,2,1,3,1,1,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,4,2,15,14,15
4,0,16,0,1,1,3,3,2,2,1,0,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,4,4,6,10,10
5,1,16,0,0,1,4,3,3,2,3,1,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,4,10,15,15,15
6,1,16,0,0,1,2,2,2,2,1,1,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,2,0,12,12,11
7,0,17,0,1,0,4,4,2,4,1,1,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,0,6,6,5,6
8,1,15,0,0,0,3,2,3,2,1,1,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,0,0,16,18,19
9,1,15,0,1,1,3,4,2,2,1,1,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,4,0,14,15,15
10,0,15,0,1,1,4,4,4,1,3,1,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,1,0,10,8,9
11,0,15,0,1,1,2,1,3,2,3,0,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,3,4,10,12,12
12,1,15,0,0,1,4,4,1,3,0,0,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,4,2,14,14,14
13,1,15,0,1,1,4,3,4,2,0,1,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,2,2,10,10,11
14,1,15,0,1,0,2,2,2,2,1,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,2,0,14,16,16
15,0,16,0,1,1,4,4,1,2,1,1,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,1,4,14,14,14
16,0,16,0,1,1,4,4,3,3,3,1,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,1,6,13,14,14
17,0,16,0,1,1,3,3,2,2,3,1,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,3,4,8,10,10
18,1,17,0,1,1,3,2,3,3,0,1,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,4,16,6,5,5
19,1,16,0,0,1,4,3,1,2,1,0,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,4,4,8,10,10
20,1,15,0,1,1,4,3,4,2,3,1,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,0,0,13,14,15
21,1,15,0,1,1,4,4,1,1,2,0,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,4,0,12,15,15
22,1,16,0,0,1,4,2,4,2,0,1,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,4,2,15,15,16
23,1,16,0,0,1,2,2,2,2,3,1,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,4,0,13,13,12
24,0,15,1,1,1,2,4,3,1,0,1,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,4,2,10,9,8
25,0,16,0,1,1,2,2,3,3,1,1,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,4,14,6,9,8
26,1,15,0,1,1,2,2,2,2,1,1,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,4,2,12,12,11
27,1,15,0,1,1,4,2,1,3,2,1,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,0,4,15,16,15
28,1,16,0,0,0,3,4,3,2,1,1,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,4,4,11,11,11
29,1,16,0,1,1,4,4,4,4,1,1,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,4,16,10,12,11
30,1,15,0,1,1,4,4,1,3,1,1,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,4,0,9,11,12
31,1,15,0,1,1,4,4,3,3,3,1,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,4,0,17,16,17
